Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Rwanda,RWA,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,,,,,,,,,600000,950000,1710000,1580000,1440000,1710000,1580000,2950000,3540000,2980000,3610000,4440000,5210000,9330000,6030000,6280000,5060000,8430000,5290000,7550000,10230000,8970000,10230000,10620000,7810000,4420000,3090000,5070000,5070000,10450000,9740000,12200000,5370000,2720000,2090000,3520000,5100000,4040000,5480000,5430000,5930000,7990000,7930000,5920000,8250000,8310000,7860000,6640000,6260000,5000000,
Rwanda,RWA,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,,,,,,,,,,,,,120000,790000,810000,380000,130000,160000,120000,270000,180000,300000,5710000,3790000,4230000,5080000,1100000,760000,3860000,1500000,1480000,1200000,1610000,6050000,75140000,100240000,,,,,7650000,7430000,6900000,5400000,4420000,820000,40000,440000,1540000,2160000,1500000,9490000,11240000,7390000,,4210000,5630000,16480000,
Rwanda,RWA,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,150000,90000,140000,160000,260000,350000,510000,1110000,1090000,1670000,2010000,1300000,1490000,1250000,920000,1000000,1320000,1400000,2040000,2330000,2810000,3810000,4500000,,32280000,32690000,22370000,2600000,1250000,2190000,3140000,2780000,3050000,2950000,3630000,4280000,6060000,9090000,8260000,9600000,11550000,9690000,7970000,10310000,7830000,7740000,8200000,7780000,
Rwanda,RWA,"Net official flows from UN agencies, UNAIDS (current US$)",DT.NFL.UNAI.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290000,140000,940000,530000,690000,820000,940000,810000,810000,840000,780000,690000,460000,
Rwanda,RWA,"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,,,,,,,,,,,,,,,,,,,,,285047.1,,978376.6,869198.7,-158916.5,-238803.5,-106802.2,-341864.3,-176094.5,-258949.8,-135764.2,-339399.8,-121140.7,,,-115310.1,-69685.7,-46787.1,-24422,-46909.8,-51441.2,-7632.9,-20717.7,0,,,,,,,,,,,0,0,9526070.1,8514574.1,59180146.5
Rwanda,RWA,"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD,,,,,,,,,,,,,,,,1089544.7,1161225.9,1151748,4133048.2,4309152.8,3190072.9,1759338.9,4038828.5,9119469.5,6662196.1,6836231.4,8078240.8,15649606.6,19099013,14167478.8,10331272.5,12507160.7,18381043.7,1783193.1,8031006.6,13969205.5,7237148.3,7886371.6,14239379.8,9141146.1,-965511.5,10188689.2,10202182.4,6944286.1,15854569.9,34958296.4,21322166,25520269.8,31310816.6,21741290.5,14816804.9,37860478.2,22550015.6,12554850.9,50294604,10703303.8,86973173.1,39254405.2,115441854.5
Rwanda,RWA,"PPG, private creditors (NFL, current US$)",DT.NFL.PRVT.CD,,,,,,,,,,,-92000,-156000,637000,1855000,-165000,-183000,-369000,3893000,4087000,-967000,-2333000,-307000,3037000,-501000,5824000,-2599000,-4821000,-120000,-2678000,-2497000,-1814000,-951000,-1010000,,,,,,,0,0,0,0,0,0,,,,,,,,,400000000,,,,,0
Rwanda,RWA,"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,,,,,,,,,,,-92000,-156000,-210000,1855000,-165000,-88000,-294000,3964000,4330000,-844000,-2333000,-307000,3037000,-501000,5824000,-2599000,-4821000,-120000,-2678000,-2497000,-1814000,-951000,-1010000,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Rwanda,RWA,"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000000,0,86000000,-81000000,307000000,69000000,389000000,175411000,281639000,178542000,228816000
Rwanda,RWA,"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,,,,,,,,,,,-92000,-156000,-210000,1855000,-165000,-88000,-294000,3964000,4330000,-844000,-2333000,-307000,3037000,-501000,5824000,-2599000,-4821000,-120000,-2678000,-2497000,-1814000,-951000,-1010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rwanda,RWA,"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,"PPG, bonds (NFL, current US$)",DT.NFL.PBND.CD,,,,,,,,,,,,,847000,,,-95000,-75000,-70000,-243000,-123000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000000,,,,,0
Rwanda,RWA,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,,,,,,,,,,,-26220.6,21134.5,751488.3,2518000,4217394,11937798.2,23232690.8,23620240.7,20544940.4,32837467.3,26973861.3,24520331.1,25616956,34403761.2,38360136.6,71198580,70940238.9,92419810.6,78538900.3,52984045.5,55209549.4,78301846.8,71916081,49470283.6,20364431.5,42602832.9,53297075,61782927.4,78858690.7,69756257.2,26708382.1,53192588.3,75559814.3,19320577.7,86613233.6,71614164.1,46738155.5,66099578.7,105928580.5,67535295.6,54846538.2,218105713.2,80788060.1,113059249.7,271604499.4,358280933.9,345145620.6,371763114.1,537485738.8
Rwanda,RWA,"IFC, private nonguaranteed (NFL, current US$)",DT.NFL.NIFC.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,3983334,10063819.08,4534375.12,7405233.33,-5455534,11236233,16380019,15341594,-2797329,
Rwanda,RWA,"EBRD, private nonguaranteed (NFL, current US$)",DT.NFL.NEBR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD,,,,,,,,,,,,,,,,2000000,,850000,4794391.1,2762705.7,6702181.4,7291006.6,1969000,537553.4,1300890,7476378.8,6120983.3,6395531.6,10962195.2,1392443.2,1235645.7,7118788.4,9411450,683385.9,-592873.9,-89517,9464712.4,3405822.9,4729070.3,-839068.3,-845213.8,-3108515.7,-2694175.8,-3415445.6,-2628241,-5075061.8,-6416376.2,6873519.7,21407908.6,21344548.7,11873891.9,14850538.8,3360662.6,11871783.2,16069978.9,13789242.9,9668981.5,9537469.6,9441141.9
Rwanda,RWA,"PPG, multilateral concessional (NFL, current US$)",DT.NFL.MLTC.CD,,,,,,,,,,,63000,157000,971000,2518000,4477000,7669544.7,9528225.9,11342748,13351439.3,15882858.5,19575254.3,9776345.5,15802828.5,28109783.1,31649519.8,42609983.6,47866219.1,58576419.2,57225216.8,47257189,33225767.4,59611884.8,53552493.7,39054579,18513132.7,42885688.5,46707493.3,58822194.5,80589450.1,72167077.8,29452274.7,61949880.7,81992392.9,28928749,97517713.1,79752885,56164073.3,51544525.3,94578254,51141104.8,35788611.6,186653269.8,65971164.9,62803224.6,230121635.3,306498749.5,313172154.6,336734874.8,360989297.9
Rwanda,RWA,"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,,,,,,,,,,,63000,157000,971000,2518000,4477000,7670000,9528000,11343000,15411000,18000000,20408000,16054000,18621000,28930000,32158000,43250000,50373000,60620000,60083000,46567000,32048000,66014000,57556000,39055000,18513000,42770000,54778000,58775000,80565000,71752000,29033000,57197000,80731000,27172000,95379000,76565000,51880000,59969000,93246000,53563000,36331000,188502000,63547000,65549000,233406000,309002000,322788000,345068000,425311000
Rwanda,RWA,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,63000,157000,971000,2518000,4477000,4580000,8367000,9341000,6484000,10928000,10231000,7004000,11635000,18404000,24353000,29176000,36281000,38917000,30198000,31266000,20617000,46728000,29885000,36588000,11075000,29006000,38146000,47530000,61621000,63497000,30895000,50124000,73244000,23643000,82153000,46682000,36974000,27575000,40527000,10477000,9640000,135791000,37636000,41122000,167041000,284509000,216620000,287762000,
Rwanda,RWA,"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rwanda,RWA,"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD,,,,,,,,,,,-1000000,-3009075,75999,,,,-2389908.1,,,3975645.5,6330909.4,84947.8,,,,-1572038.2,-2491659,-2784688,-2856494.1,-2722819.3,-784717.4,-97166.9,,,,13541344.5,,20469339,,-6102672.8,-8829419.5,-856791.3,-2471902.1,,,,,,,,,,,,0,,,,
Rwanda,RWA,"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11988476.1,,,,,-1271763.7,-2410909.7,13768577.9,26893875.9,22802958.4,11004611.6,743253.9,-854666.8,1112991.4,-2004750.4,2517578.2,3490435.6,3604122.6,3563134.5,-86978.2,-630707.5,-1046386.7,-1740593.6,-2772789.5,-2641547.4,98220135.5,73388971.9,24381206.5
Rwanda,RWA,"Net official flows from UN agencies, ILO (current US$)",DT.NFL.ILOG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000,440000,350000,400000,420000,400000,
Rwanda,RWA,"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.8,1.5,,2.8,,2.4,3.2,3.8,2.5,,,
Rwanda,RWA,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,5900,1900,3200,1000,,2000,9700,5000,47000
Rwanda,RWA,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,153,87,353,1054,,90,535,1095,,,2044,,,,,,,,,,,13,1,,,,,9
Rwanda,RWA,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.51110109,79.72923112,78.31332227,75.25636695,76.37378322,62.9016584,66.35057839,55.98471058,57.72279082
Rwanda,RWA,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04463306,16.05941549,16.6455112,19.28633527,19.6350029,18.01564118,16.73522511,29.45047148,26.51633596
Rwanda,RWA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9674592,7.1172714,14.74471112,3.118429357,7.762259396,12.27953237,13.54436803,12.5432463,,
Rwanda,RWA,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14878279,1237772,3358247,1314109,2473978,6764036,7939246,4986874,,
Rwanda,RWA,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244389751.4,315818924.2,359836604.8,390133103.6,397649543.1,537453502.3,547166963.7,660186530.3,648026929.3
Rwanda,RWA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.444265849,4.211353386,5.041166528,5.457297779,3.991213877,13.18181071,11.97344431,10.719346,15.76087322
Rwanda,RWA,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,229.9146522,222.3830639,196.4049015,226.3596052,275.8270157,250.7738521,360.4653602,215.7821962,206.7210223,181.5417918,207.88633,177.2570448,125.5211939,124.6488342,54.62299147,97.89646669,114.0532402,163.9297527,113.3057114,114.1366344,100,162.260171,122.6385013,118.865009,185.2011177,235.1263082,277.9177115,333.5201212,505.0253484,443.3853509,560.8919027,875.827574,1114.68964,1326.38256,1364.306159,1286.836361,1370.796565,1981.4797,2091.057119
Rwanda,RWA,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,,,,,5.172413793,2.857142857,3.389830508,7.857142857,12.24489796,16.1971831,13.76518219,14.79820628,13.98963731,5.009371788,7.012728398,1.294329604,2.266673244,4.085841755,80.14615262,85.23921249,78.55730552,2.325453344,4.468091361,0.719011359,2.415046847,3.0167701,2.630606708,0.299158674,1.25128999,2.838361458,1.974974975,1.374296179,0.310908542,0.806933323,1.411236248,2.546967594,0.600112049,4.588433844,2.541456757,4.798043631,70.71667089,63.90297772,44.11841428,76.26829742,75.49485184,28.23245664,30.19848081,35.32376853,56.71926353,61.68935361,37.27926112,32.96453078,92.68060489,94.0962185,77.98102053,41.96189371,38.94565754,29.78596398,
Rwanda,RWA,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,,,,,5800000,7000000,11800000,14000000,14700000,14200000,24700000,22300000,19300000,33078000,37161000,42184000,81088000,92123000,68969000,117636000,73335000,108968000,102057000,120165000,143020000,129874000,173230000,108638000,108528000,95231000,99900000,91465000,196619331.1,100048425.3,60557550.86,63113592.89,168518420.1,117715283.2,108232693,78570754.74,58946597,67615605,59082842,56330695,104890637,154666746,148751814,187984467,396601248,234404317,242240968,393893873,509726261,609337744,657051219,428009935,419021671,660659867,
Rwanda,RWA,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,,,,,37.93103448,40,92.37288136,88.57142857,79.59183673,29.57746479,19.83805668,22.86995516,25.38860104,15.42414898,14.77086193,16.67219799,8.514206788,9.653398174,7.333729647,10.48658574,15.16465535,20.36928273,13.66981197,17.57666542,13.89805622,12.00240233,5.259481614,12.02341722,12.46222173,28.63983367,30.69269269,23.16186519,13.89057233,28.38587965,31.22405092,31.14406925,13.92979766,20.62397452,25.571229,37.23157489,8.945010006,9.217802606,9.035885579,9.439127282,5.393979064,3.798420896,4.089132654,3.38522544,0.760879603,0.80742071,0.821479131,0.739700259,0.539439344,0.488424364,0.57188464,4.265072492,2.925535324,0.036953054,
Rwanda,RWA,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,,,,,5.172413793,2.857142857,3.389830508,7.857142857,12.24489796,16.1971831,13.76518219,14.79820628,13.98963731,5.009371788,7.012728398,1.294329604,2.266673244,4.085841755,80.14615262,85.23921249,78.55730552,2.325453344,4.468091361,0.719011359,2.415046847,3.0167701,2.630606708,0.299158674,1.25128999,2.838361458,1.974974975,1.374296179,0.310908542,0.806933323,1.411236248,2.546967594,0.600112049,4.588433844,2.541456757,4.798043631,70.71667089,63.90297772,44.11841428,76.26829742,75.49485184,28.23245664,30.19848081,35.32376853,56.71926353,61.68935361,37.27926112,32.96453078,92.68060489,94.0962185,77.98102053,41.96189371,38.94565754,29.78596398,
Rwanda,RWA,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,,,,,,,,,,,,,,,,,,0.001085505,,,,0.188128625,0.222424723,3.54762202,5.125157321,1.117236706,1.252092594,1.570352915,4.68358396,8.274616459,7.750750751,9.035150057,5.071319628,8.241098329,10.38817258,2.879739042,2.385300921,6.050923489,5.368662169,9.080972471,0.067606956,0.424070745,2.158787487,1.071222359,0.621566442,0.831867246,0.498477955,0.26837111,3.312518321,0.628497384,0.186672801,0.132915751,0.058602631,0.038332764,0.119085693,0.225981437,0.226978237,0.238462949,
Rwanda,RWA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,,,,,,,,,,,,,,,,,0.014798737,0.004342021,0.00434978,,,0.094523163,8.34533643,5.908542421,0.051741015,0.004619862,,0.0156483,0.037778269,,,0.370633576,0.000462361,4.054625038,,,0.016310092,0.003258024,0.091930717,,,0.008394512,0.040824035,0.412506893,0.202027565,0.024618091,0.034115886,0.014209685,0.104068508,0.001832731,0.073191583,0.069204428,0.124287887,0.006733212,0.020674187,0.054729337,0.010356266,0.003988739,
Rwanda,RWA,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,,,,,,,,,,,,,,,,,0.001233228,0.003256516,,,,,,,,,,0.006443418,0.009214212,,,,,0.007269207,,0.378055716,48.6877609,0.213233299,0.045272827,0.823967742,,0.592194657,0.096576262,0.00253503,0.006360911,0.024323263,0.002992905,0.034164525,0.005987122,0.016131102,0.000634079,0.982263565,0.059825052,0.014401865,0.001954186,0.014146634,0.006102071,0.020123214,
Rwanda,RWA,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,,,,,,,,,,,,,,,,,0.023431334,0.004342021,,,,,,,,,,0.002761465,,,,,,,0.025520427,0.012347146,,3.464445488,0.216200848,0.939214832,,2.14379506,0.019579288,0.00115035,0.014346371,0.064869794,0.023951305,0.044595174,0.003902408,0.029451676,0.181643924,0.01693248,0.043366806,0.210970683,0.129586245,0.107756377,0.069295223,0.354578372,
Rwanda,RWA,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,,,,,,,,,,,,,,,,,2.798194554,3.23480564,3.949600545,,,1.237978122,,,,,,0.051547341,,,,,1.79764357,2.299427106,2.767497498,0.716882381,0.077016503,0.953810557,2.144759943,3.808486831,0.278798113,0.359057647,1.313149425,1.192591357,0.398045061,1.615303913,2.859725126,0.851025101,1.91121335,4.063655534,7.295719277,5.91699582,0.450757039,0.075972152,1.664257167,4.248152791,3.1640953,0.777690345,
Rwanda,RWA,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,,,,,,,,,,,,,,,,,2.837657853,3.247831703,3.953950326,,,1.52062991,8.567761153,9.456164441,5.176898336,1.121856569,1.252092594,1.646753438,4.730576441,8.274616459,7.750750751,9.405783633,6.869425559,14.60241968,13.18119051,3.987024284,51.16638841,10.68567086,7.866826504,14.65264187,0.346405069,3.527512621,3.628916497,2.68000599,1.24234635,2.560982307,3.419263176,1.212365594,5.337689709,4.739568427,7.737861665,7.118312043,0.736839415,0.346410676,1.935557477,4.650766576,3.476827097,1.394843619,
Rwanda,RWA,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,,,,,56.89655172,57.14285714,4.237288136,3.571428571,8.163265306,54.22535211,66.39676113,62.33183857,60.62176166,79.56647923,78.21640968,82.03347241,86.38146212,83.01292837,8.566167409,4.274201775,6.278039135,75.78463402,73.29433552,72.24815878,78.5099986,83.858971,90.85781908,86.03067067,81.55591184,60.24718842,59.58158158,66.05805499,78.92909357,56.20476734,54.18352232,62.32193887,34.30370188,64.10192078,64.02048774,43.3177396,19.99191404,23.35170705,43.21678365,11.61256931,17.86882274,65.40814016,62.29312336,60.07864043,37.18216716,32.76365725,54.16139808,59.17745692,6.043116346,5.068946459,19.51153735,49.12226722,54.65198004,68.78223935,
Rwanda,RWA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,4000000,5000000,6000000,4000000,12000000,14000000,12000000,14000000,15000000,14000000,25000000,22000000,19000000,33000000,36000000,42000000,80000000,92000000,72000000,118000000,72000000,82000000,91000000,121000000,145000000,131000000,189000000,114000000,108000000,88000000,110000000,93000000,66000000,66000000,41000000,54000000,60000000,88000000,60000000,60000000,52000000,86000000,65000000,63000000,98000000,125000000,147000000,177000000,268000000,235000000,297000000,464000000,591000000,703000000,723000000,682000000,727000000,1050000000,1108000000
Rwanda,RWA,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,,,,,,,,,,,,,,,,,0.014798737,0.007598537,0.00434978,,,0.094523163,8.34533643,5.908542421,0.051741015,0.004619862,,0.030376111,0.043306796,,,0.370633576,0.036957006,4.054625038,0.001561718,0.000299694,0.016310092,0.003637636,0.092192857,0.048895658,0.055599478,0.130628129,0.618826021,1.709403727,0.68671811,0.654263458,0.261913445,0.465876258,0.535526555,1.121880789,0.316944325,1.092319606,3.683616175,2.763749524,2.388476354,8.187572795,20.6217919,38.40280932,
