Source,https://data.oecd.org/gdp/quarterly-gdp.htm#indicator-chart,,,,,,
LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ZAF,QGDP,VOLIDX,IDX,Q,2008-Q4,98.559029,E
ZAF,QGDP,VOLIDX,IDX,Q,2009-Q1,97.025955,E
ZAF,QGDP,VOLIDX,IDX,Q,2009-Q2,96.692986,E
ZAF,QGDP,VOLIDX,IDX,Q,2009-Q3,96.917221,E
ZAF,QGDP,VOLIDX,IDX,Q,2009-Q4,97.563435,E
ZAF,QGDP,VOLIDX,IDX,Q,2010-Q1,98.674197,
ZAF,QGDP,VOLIDX,IDX,Q,2010-Q2,99.347396,
ZAF,QGDP,VOLIDX,IDX,Q,2010-Q3,100.451888,
ZAF,QGDP,VOLIDX,IDX,Q,2010-Q4,101.526519,
ZAF,QGDP,VOLIDX,IDX,Q,2011-Q1,102.491484,
ZAF,QGDP,VOLIDX,IDX,Q,2011-Q2,103.08076,
ZAF,QGDP,VOLIDX,IDX,Q,2011-Q3,103.388195,
ZAF,QGDP,VOLIDX,IDX,Q,2011-Q4,104.176225,
ZAF,QGDP,VOLIDX,IDX,Q,2012-Q1,104.593017,
ZAF,QGDP,VOLIDX,IDX,Q,2012-Q2,105.531952,
ZAF,QGDP,VOLIDX,IDX,Q,2012-Q3,105.84755,
ZAF,QGDP,VOLIDX,IDX,Q,2012-Q4,106.30832,
ZAF,QGDP,VOLIDX,IDX,Q,2013-Q1,106.748484,
ZAF,QGDP,VOLIDX,IDX,Q,2013-Q2,107.880202,
ZAF,QGDP,VOLIDX,IDX,Q,2013-Q3,108.375465,
ZAF,QGDP,VOLIDX,IDX,Q,2013-Q4,109.771241,
ZAF,QGDP,VOLIDX,IDX,Q,2014-Q1,109.343045,
ZAF,QGDP,VOLIDX,IDX,Q,2014-Q2,109.610066,
ZAF,QGDP,VOLIDX,IDX,Q,2014-Q3,110.308801,
ZAF,QGDP,VOLIDX,IDX,Q,2014-Q4,111.506782,
ZAF,QGDP,VOLIDX,IDX,Q,2015-Q1,111.980954,
ZAF,QGDP,VOLIDX,IDX,Q,2015-Q2,111.318986,
ZAF,QGDP,VOLIDX,IDX,Q,2015-Q3,111.307821,
ZAF,QGDP,VOLIDX,IDX,Q,2015-Q4,111.42255,
ZAF,QGDP,VOLIDX,IDX,Q,2016-Q1,111.149098,
ZAF,QGDP,VOLIDX,IDX,Q,2016-Q2,112.025931,
ZAF,QGDP,VOLIDX,IDX,Q,2016-Q3,112.275963,
ZAF,QGDP,VOLIDX,IDX,Q,2016-Q4,112.359229,
ZAF,QGDP,VOLIDX,IDX,Q,2017-Q1,112.286959,
ZAF,QGDP,VOLIDX,IDX,Q,2017-Q2,113.107815,
ZAF,QGDP,VOLIDX,IDX,Q,2017-Q3,113.890799,
ZAF,QGDP,VOLIDX,IDX,Q,2017-Q4,114.859285,
ZAF,QGDP,VOLIDX,IDX,Q,2018-Q1,114.07468,
ZAF,QGDP,VOLIDX,IDX,Q,2018-Q2,113.925022,
ZAF,QGDP,VOLIDX,IDX,Q,2018-Q3,114.664347,
ZAF,QGDP,VOLIDX,IDX,Q,2018-Q4,115.055023,
ZAF,QGDP,VOLIDX,IDX,Q,2019-Q1,114.164484,
ZAF,QGDP,VOLIDX,IDX,Q,2019-Q2,115.037463,
