Temperature Dataset ,,,
"Station: O. R. Tambo International Airport, Gauteng, South Africa  ",,,
Source: https://www.wunderground.com/history/monthly/za/kempton-park/FAOR,,,
Month,Year, Tem Fahrenheit ,Temp Celsius
Jan,2017,72.01612903,22
Feb,2017,71.40714286,22
Mar,2017,70.68666667,21
Apr,2017,65.95333333,19
May,2017,60.78,16
Jun,2017,57.72692308,14
Jul,2017,58.28,15
Aug,2017,59.02,15
Sep,2017,68.62033898,20
Nov,2017,69.83103448,21
Dec,2017,70.80285714,22
Jan,2018,73.6483871,23
Feb,2018,71.37142857,22
Mar,2018,70,21
Apr,2018,66.27666667,19
May,2018,61.04193548,16
Jun,2018,57.92962963,14
Jul,2018,55.32903226,13
Aug,2018,63.43548387,17
Sep,2018,68.92131148,21
Nov,2018,71.74,22
Dec,2018,75.18387097,24
Jan,2019,73.29354839,23
Feb,2019,72.24642857,22
Mar,2019,73.46333333,23
Apr,2019,64.44827586,18
May,2019,62.54,17
Jun,2019,55.72692308,13
Jul,2019,55.37,13
Aug,2019,61.41333333,16
Sep,2019,64.71111111,18
